품질개선팀	SKT담당	SKT운용팀
강남품질개선팀	수도권Network담당	강남Access운용팀
강동품질개선팀	수도권Network담당	강남Access운용팀
강릉품질개선팀	수도권Network담당	강원Access운용팀
경산품질개선팀	동부Network담당	경북Access운용팀
관악품질개선팀	수도권Network담당	강남Access운용팀
구미품질개선팀	동부Network담당	경북Access운용팀
군산품질개선팀	서부Network담당	전북Access운용팀
김해품질개선팀	동부Network담당	경남Access운용팀
남양주품질개선팀	수도권Network담당	인천Access운용팀
남인천품질개선팀	수도권Network담당	인천Access운용팀
대전품질개선팀	중부Network담당	충남Access운용팀
동광주품질개선팀	서부Network담당	전남Access운용팀
동대구품질개선팀	동부Network담당	경북Access운용팀
동부산품질개선팀	동부Network담당	경남Access운용팀
동청주품질개선팀	중부Network담당	충북Access운용팀
목포품질개선팀	서부Network담당	전남Access운용팀
부천품질개선팀	수도권Network담당	인천Access운용팀
북인천품질개선팀	수도권Network담당	인천Access운용팀
분당품질개선팀	수도권Network담당	경기Access운용팀
삼척품질개선팀	수도권Network담당	강원Access운용팀
서광주품질개선팀	서부Network담당	전남Access운용팀
서대구품질개선팀	동부Network담당	경북Access운용팀
서부산품질개선팀	동부Network담당	경남Access운용팀
서산품질개선팀	중부Network담당	충남Access운용팀
서청주품질개선팀	중부Network담당	충북Access운용팀
성수품질개선팀	수도권Network담당	강북Access운용팀
세종품질개선팀	중부Network담당	충남Access운용팀
수원품질개선팀	수도권Network담당	경기Access운용팀
수유품질개선팀	수도권Network담당	강북Access운용팀
순천품질개선팀	서부Network담당	전남Access운용팀
안동품질개선팀	동부Network담당	경북Access운용팀
양천품질개선팀	수도권Network담당	강남Access운용팀
용산품질개선팀	수도권Network담당	강북Access운용팀
용인품질개선팀	수도권Network담당	경기Access운용팀
울산품질개선팀	동부Network담당	경남Access운용팀
원주품질개선팀	수도권Network담당	강원Access운용팀
의정부품질개선팀	수도권Network담당	인천Access운용팀
일산품질개선팀	수도권Network담당	인천Access운용팀
전주품질개선팀	서부Network담당	전북Access운용팀
제주품질개선팀	서부Network담당	제주Access운용팀
종로품질개선팀	수도권Network담당	강북Access운용팀
지하철품질개선팀	수도권Network담당	강북Access운용팀
진주품질개선팀	동부Network담당	경남Access운용팀
창원품질개선팀	동부Network담당	경남Access운용팀
천안품질개선팀	중부Network담당	충남Access운용팀
춘천품질개선팀	수도권Network담당	강원Access운용팀
충주품질개선팀	중부Network담당	충북Access운용팀
평택품질개선팀	수도권Network담당	경기Access운용팀
포항품질개선팀	동부Network담당	경북Access운용팀
하남품질개선팀	수도권Network담당	경기Access운용팀
