epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.9321,2.17274,1,1,1.44221,0.00013842,4.614e-05,0.00013842,4.614e-05,0.00013842,4.614e-05,0.00013842,4.614e-05
2,32.1524,2.13585,1,1,1.39155,0.000296941,9.89803e-05,0.000296941,9.89803e-05,0.000296941,9.89803e-05,0.000296941,9.89803e-05
3,44.5825,2.05593,1,1,1.3565,0.000452264,0.000150755,0.000452264,0.000150755,0.000452264,0.000150755,0.000452264,0.000150755
4,53.376,1.92352,1,1,1.32047,0.00060439,0.000201463,0.00060439,0.000201463,0.00060439,0.000201463,0.00060439,0.000201463
5,64.1404,1.8225,1,1,1.2139,0.000753319,0.000251106,0.000753319,0.000251106,0.000753319,0.000251106,0.000753319,0.000251106
6,74.2899,1.66011,1,1,1.12048,0.000899049,0.000299683,0.000899049,0.000299683,0.000899049,0.000299683,0.000899049,0.000299683
7,86.5862,1.45552,1,1,0.99433,0.00104158,0.000347194,0.00104158,0.000347194,0.00104158,0.000347194,0.00104158,0.000347194
8,94.5167,1.33284,1,1,0.93317,0.00118092,0.00039364,0.00118092,0.00039364,0.00118092,0.00039364,0.00118092,0.00039364
9,104.195,1.17361,1,1,0.8029,0.00131706,0.000439019,0.00131706,0.000439019,0.00131706,0.000439019,0.00131706,0.000439019
10,111.448,1.0428,1,1,0.72434,0.00145,0.000483333,0.00145,0.000483333,0.00145,0.000483333,0.00145,0.000483333
11,118.582,0.92443,1,1,0.66266,0.00157974,0.00052658,0.00157974,0.00052658,0.00157974,0.00052658,0.00157974,0.00052658
12,128.04,0.82597,1,1,0.52452,0.00170629,0.000568762,0.00170629,0.000568762,0.00170629,0.000568762,0.00170629,0.000568762
13,133.994,0.78014,1,1,0.49211,0.00182964,0.000609879,0.00182964,0.000609879,0.00182964,0.000609879,0.00182964,0.000609879
14,141.707,0.65027,1,1,0.42375,0.00194979,0.000649929,0.00194979,0.000649929,0.00194979,0.000649929,0.00194979,0.000649929
15,150.152,0.55399,1,1,0.39474,0.00198725,0.000662417,0.00198725,0.000662417,0.00198725,0.000662417,0.00198725,0.000662417
16,157.264,0.4976,1,1,0.35432,0.00196441,0.000654804,0.00196441,0.000654804,0.00196441,0.000654804,0.00196441,0.000654804
17,162.613,0.43632,1,1,0.34402,0.00194157,0.00064719,0.00194157,0.00064719,0.00194157,0.00064719,0.00194157,0.00064719
18,170.161,0.44638,1,1,0.32888,0.00191873,0.000639577,0.00191873,0.000639577,0.00191873,0.000639577,0.00191873,0.000639577
19,178.372,0.38847,1,1,0.32438,0.00189589,0.000631964,0.00189589,0.000631964,0.00189589,0.000631964,0.00189589,0.000631964
20,186.555,0.36055,1,1,0.3118,0.00187305,0.000624351,0.00187305,0.000624351,0.00187305,0.000624351,0.00187305,0.000624351
21,192.109,0.31787,1,1,0.29679,0.00185021,0.000616738,0.00185021,0.000616738,0.00185021,0.000616738,0.00185021,0.000616738
